ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.133,192.168.4.20,51063,3476,0,0x0014
192.168.4.133,192.168.4.20,51063,3031,0,0x0014
192.168.4.133,192.168.4.76,51063,8994,0,0x0014
192.168.4.133,192.168.4.76,51063,20031,0,0x0014
192.168.4.133,192.168.4.76,51063,11967,0,0x0014
192.168.4.133,192.168.4.76,51063,1186,0,0x0014
192.168.4.133,192.168.4.113,51063,1199,0,0x0014
192.168.4.133,192.168.4.77,51063,7201,0,0x0014
192.168.4.133,192.168.4.77,51063,52673,0,0x0014
192.168.4.133,192.168.4.78,51063,1010,0,0x0014
192.168.4.133,192.168.4.77,51063,9917,0,0x0014
192.168.4.133,192.168.4.78,51063,1301,0,0x0014
192.168.4.133,192.168.4.78,51063,5903,0,0x0014
192.168.4.133,192.168.4.113,51063,3476,0,0x0014
192.168.4.133,192.168.4.113,51063,3031,0,0x0014
192.168.4.133,192.168.4.113,51063,3011,0,0x0014
192.168.4.133,192.168.4.77,51063,1600,0,0x0014
192.168.4.133,192.168.4.78,51063,8022,0,0x0014
192.168.4.133,192.168.4.113,51063,987,0,0x0014
192.168.4.133,192.168.4.113,51063,10626,0,0x0014
192.168.4.133,192.168.4.113,51063,9011,0,0x0014
192.168.4.133,192.168.4.113,51063,1244,0,0x0014
192.168.4.133,192.168.4.113,51063,3000,0,0x0014
192.168.4.133,192.168.4.20,51063,9,0,0x0014
192.168.4.133,192.168.4.20,51063,3372,0,0x0014
192.168.4.133,192.168.4.20,51063,1311,0,0x0014
192.168.4.133,192.168.4.20,51063,3071,0,0x0014
192.168.4.133,192.168.4.20,51063,720,0,0x0014
192.168.4.133,192.168.4.29,51063,9917,0,0x0014
192.168.4.133,192.168.4.20,51063,8500,0,0x0014
192.168.4.133,192.168.4.20,51063,2033,0,0x0014
192.168.4.133,192.168.4.29,51063,52673,0,0x0014
192.168.4.133,192.168.4.29,51063,49165,0,0x0014
192.168.4.133,192.168.4.29,51063,7025,0,0x0014
192.168.4.133,192.168.4.29,51063,4003,0,0x0014
192.168.4.133,192.168.4.29,51063,1042,0,0x0014
192.168.4.133,192.168.4.29,51063,6779,0,0x0014
192.168.4.133,192.168.4.29,51063,1010,0,0x0014
192.168.4.133,192.168.4.29,51063,81,0,0x0014
192.168.4.133,192.168.4.29,51063,8994,0,0x0014
192.168.4.133,192.168.4.29,51063,7201,0,0x0014
192.168.4.133,192.168.4.29,51063,1641,0,0x0014
192.168.4.133,192.168.4.29,51063,20031,0,0x0014
192.168.4.133,192.168.4.29,51063,5903,0,0x0014
192.168.4.133,192.168.4.20,51063,90,0,0x0014
192.168.4.133,192.168.4.29,51063,79,0,0x0014
192.168.4.133,192.168.4.29,51063,1090,0,0x0014
192.168.4.133,192.168.4.29,51063,8649,0,0x0014
192.168.4.133,192.168.4.29,51063,9102,0,0x0014
192.168.4.133,192.168.4.29,51063,8290,0,0x0014
192.168.4.133,192.168.4.29,51063,1035,0,0x0014
192.168.4.133,192.168.4.29,51063,1186,0,0x0014
192.168.4.133,192.168.4.29,51063,1600,0,0x0014
192.168.4.133,192.168.4.29,51063,2103,0,0x0014
192.168.4.133,192.168.4.29,51063,50006,0,0x0014
192.168.4.133,192.168.4.29,51063,1334,0,0x0014
192.168.4.133,192.168.4.29,51063,306,0,0x0014
192.168.4.133,192.168.4.29,51063,1045,0,0x0014
192.168.4.133,192.168.4.29,51063,1328,0,0x0014
192.168.4.133,192.168.4.29,51063,7002,0,0x0014
192.168.4.133,192.168.4.29,51063,1301,0,0x0014
192.168.4.133,192.168.4.29,51063,50500,0,0x0014
192.168.4.133,192.168.4.29,51063,11967,0,0x0014
192.168.4.133,192.168.4.29,51063,8022,0,0x0014
192.168.4.133,192.168.4.29,51063,2909,0,0x0014
192.168.4.133,192.168.4.76,51063,50500,0,0x0014
192.168.4.133,192.168.4.76,51063,1334,0,0x0014
192.168.4.133,192.168.4.76,51063,2103,0,0x0014
192.168.4.20,192.168.4.133,6502,51063,1024,0x0002
192.168.4.133,192.168.4.77,51063,1010,0,0x0014
192.168.4.133,192.168.4.77,51063,1301,0,0x0014
192.168.4.133,192.168.4.77,51063,50006,0,0x0014
192.168.4.133,192.168.4.77,51063,7002,0,0x0014
192.168.4.133,192.168.4.77,51063,5903,0,0x0014
192.168.4.133,192.168.4.77,51063,8022,0,0x0014
192.168.4.133,192.168.4.77,51063,1328,0,0x0014
192.168.4.29,192.168.4.133,10626,51063,1024,0x0002
192.168.4.133,192.168.4.77,51063,9102,0,0x0014
192.168.4.76,192.168.4.133,306,51063,1024,0x0002
192.168.4.77,192.168.4.133,11967,51063,1024,0x0002
192.168.4.78,192.168.4.133,1641,51063,1024,0x0002
192.168.4.113,192.168.4.133,3071,51063,1024,0x0002
192.168.4.20,192.168.4.133,2383,51063,1024,0x0002
192.168.4.29,192.168.4.133,987,51063,1024,0x0002
192.168.4.76,192.168.4.133,81,51063,1024,0x0002
192.168.4.77,192.168.4.133,1186,51063,1024,0x0002
192.168.4.78,192.168.4.133,1334,51063,1024,0x0002
192.168.4.113,192.168.4.133,9,51063,1024,0x0002
192.168.4.20,192.168.4.133,161,51063,1024,0x0002
192.168.4.29,192.168.4.133,9011,51063,1024,0x0002
192.168.4.76,192.168.4.133,2909,51063,1024,0x0002
192.168.4.77,192.168.4.133,20031,51063,1024,0x0002
192.168.4.78,192.168.4.133,1045,51063,1024,0x0002
192.168.4.113,192.168.4.133,720,51063,1024,0x0002
192.168.4.20,192.168.4.133,8093,51063,1024,0x0002
192.168.4.29,192.168.4.133,1199,51063,1024,0x0002
192.168.4.76,192.168.4.133,56738,51063,1024,0x0002
192.168.4.77,192.168.4.133,8994,51063,1024,0x0002
192.168.4.78,192.168.4.133,306,51063,1024,0x0002
192.168.4.113,192.168.4.133,8500,51063,1024,0x0002
192.168.4.20,192.168.4.133,1783,51063,1024,0x0002
192.168.4.29,192.168.4.133,3031,51063,1024,0x0002
192.168.4.76,192.168.4.133,32775,51063,1024,0x0002
192.168.4.77,192.168.4.133,1035,51063,1024,0x0002
192.168.4.78,192.168.4.133,81,51063,1024,0x0002
192.168.4.113,192.168.4.133,3372,51063,1024,0x0002
192.168.4.20,192.168.4.133,2007,51063,1024,0x0002
192.168.4.29,192.168.4.133,3000,51063,1024,0x0002
192.168.4.76,192.168.4.133,259,51063,1024,0x0002
192.168.4.77,192.168.4.133,2103,51063,1024,0x0002
192.168.4.78,192.168.4.133,2909,51063,1024,0x0002
192.168.4.113,192.168.4.133,2033,51063,1024,0x0002
192.168.4.20,192.168.4.133,5633,51063,1024,0x0002
192.168.4.29,192.168.4.133,1244,51063,1024,0x0002
192.168.4.76,192.168.4.133,427,51063,1024,0x0002
192.168.4.77,192.168.4.133,1042,51063,1024,0x0002
192.168.4.78,192.168.4.133,56738,51063,1024,0x0002
192.168.4.113,192.168.4.133,1311,51063,1024,0x0002
192.168.4.20,192.168.4.133,1058,51063,1024,0x0002
192.168.4.29,192.168.4.133,3476,51063,1024,0x0002
192.168.4.76,192.168.4.133,3659,51063,1024,0x0002
192.168.4.77,192.168.4.133,50500,51063,1024,0x0002
192.168.4.78,192.168.4.133,32775,51063,1024,0x0002
192.168.4.113,192.168.4.133,90,51063,1024,0x0002
192.168.4.20,192.168.4.133,7019,51063,1024,0x0002
192.168.4.29,192.168.4.133,3011,51063,1024,0x0002
192.168.4.133,192.168.4.29,51063,32775,0,0x0014
192.168.4.133,192.168.4.29,51063,3659,0,0x0014
192.168.4.133,192.168.4.29,51063,259,0,0x0014
192.168.4.133,192.168.4.29,51063,6839,0,0x0014
192.168.4.133,192.168.4.29,51063,55055,0,0x0014
192.168.4.133,192.168.4.29,51063,2522,0,0x0014
192.168.4.133,192.168.4.29,51063,56738,0,0x0014
192.168.4.133,192.168.4.29,51063,427,0,0x0014
192.168.4.133,192.168.4.76,51063,1035,0,0x0014
192.168.4.133,192.168.4.76,51063,8649,0,0x0014
192.168.4.133,192.168.4.76,51063,1045,0,0x0014
192.168.4.133,192.168.4.78,51063,11967,0,0x0014
192.168.4.133,192.168.4.76,51063,1042,0,0x0014
192.168.4.78,192.168.4.133,259,51063,1024,0x0002
192.168.4.113,192.168.4.133,6502,51063,1024,0x0002
192.168.4.20,192.168.4.133,1050,51063,1024,0x0002
192.168.4.29,192.168.4.133,3071,51063,1024,0x0002
192.168.4.76,192.168.4.133,2522,51063,1024,0x0002
192.168.4.77,192.168.4.133,8649,51063,1024,0x0002
192.168.4.78,192.168.4.133,427,51063,1024,0x0002
192.168.4.113,192.168.4.133,2383,51063,1024,0x0002
192.168.4.20,192.168.4.133,19780,51063,1024,0x0002
192.168.4.29,192.168.4.133,9,51063,1024,0x0002
192.168.4.76,192.168.4.133,6839,51063,1024,0x0002
192.168.4.77,192.168.4.133,1641,51063,1024,0x0002
192.168.4.78,192.168.4.133,3659,51063,1024,0x0002
192.168.4.113,192.168.4.133,161,51063,1024,0x0002
192.168.4.20,192.168.4.133,2381,51063,1024,0x0002
192.168.4.29,192.168.4.133,720,51063,1024,0x0002
192.168.4.76,192.168.4.133,55055,51063,1024,0x0002
192.168.4.77,192.168.4.133,1334,51063,1024,0x0002
192.168.4.78,192.168.4.133,2522,51063,1024,0x0002
